city,country,id
Changhua County,Taiwan,asia-east1
Hong Kong,Hong Kong,asia-east2
Tokyo,Japan,asia-northeast1
Osaka,Japan,asia-northeast2
Seoul,South Korea,asia-northeast3
Mumbai,India,asia-south1
Delhi,India,asia-south2
Jurong West,Singapore,asia-southeast1
Jakarta,Indonesia,asia-southeast2
Sydney,Australia,australia-southeast1
Melbourne,Australia,australia-southeast2
Warsaw,Poland,europe-central2
Hamina,Finland,europe-north1
Madrid,Spain,europe-southwest1
St. Ghislain,Belgium,europe-west1
London,United Kingdom,europe-west2
Frankfurt,Germany,europe-west3
Eemshaven,Netherlands,europe-west4
Zurich,Switzerland,europe-west6
Milan,Italy,europe-west8
Paris,France,europe-west9
Berlin,Germany,europe-west10
Turin,Italy,europe-west12
Doha,Katar,me-central1
Tel Aviv,Israel,me-west1
Montréal,Canada,northamerica-northeast1
Toronto,Canada,northamerica-northeast2
São Paulo,Brazil,southamerica-east1
Santiago,Chile,southamerica-west1
Council Bluffs,USA,us-central1
Moncks Corner,USA,us-east1
Ashburn,USA,us-east4
Columbus,USA,us-east5
Dallas,USA,us-south1
The Dalles,USA,us-west1
Los Angeles,USA,us-west2
Salt Lake City,USA,us-west3
Las Vegas,USA,us-west4
USA,USA,us
ASIA,ASIA,asia
ASIA,ASIA,asia1
Europe,Europe,eu
Europe,Europe,europe
Global,Global,global
USA,USA,nam1
USA,USA,nam2
USA,USA,nam3
USA,USA,nam4
USA,USA,nam5
USA,USA,nam6
USA,USA,nam7
USA,USA,nam8
USA,USA,nam9
USA,USA,nam10
USA,USA,nam11
USA,USA,nam12
USA,USA,nam13
Global,Global,nam-eur-asia1
Global,Global,nam-eur-asia2
Global,Global,nam-eur-asia3
Europe,Europe,eur1
Europe,Europe,eur2
Europe,Europe,eur3
Europe,Europe,eur4
Europe,Europe,eur5
Europe,Europe,eur6